Parameter,P_b,Spec_1:T0_b,T0_b,Rp_Rs_b,a_Rs_b,K_b,lam_b,cosi_b,ecosw_b,esinw_b,vsini,zeta,xi,LCsigma_1,LC_1_GP_log_a,LC_1_GP_log_c,LCsigma_2,LC_2_GP_log_a,LC_2_GP_log_c,LCsigma_3,LC_3_GP_log_a,LC_3_GP_log_c,RVsys_1,RVsigma_1,RVsys_2,RVsigma_2,RVsys_3,RVsigma_3,RVsys_4,RVsigma_4,LC3_q_sum,RV1_q_sum,e_b,w_b,inc_b,b_b,T41_b,T21_b,RV1_q1,RV1_q2,LC3_q1,LC3_q2,lnL,chi2
Label,$P \rm _b \  (days)$,"$T \rm _{0,b} \ (BJD) Spec_1$","$T \rm _{0,b} \ (BJD)$",$(R_\mathrm{p}/R_\star)\rm _b$,$(a/R_\star) \rm _b$,$K  \rm _b\ (m/s)$,$\lambda \rm _b \ (^\circ)$,$\cos i \rm _b$,$\sqrt{e} \ \cos \omega_b$,$\sqrt{e} \ \sin \omega_b$,$v \sin i_\star \ \rm (km/s)$,$\zeta \ \rm (km/s)$,$\xi \ \rm (km/s)$,"$\rm \sigma_{LC,1}$","$\rm \log a_{LC,1}$","$\rm \log c_{LC,1}$","$\rm \sigma_{LC,2}$","$\rm \log a_{LC,2}$","$\rm \log c_{LC,2}$","$\rm \sigma_{LC,3}$","$\rm \log a_{LC,3}$","$\rm \log c_{LC,3}$",$\gamma_1 \ \rm (m/s)$,"$\rm \sigma_{RV,1} \ (m/s)$",$\gamma_2 \ \rm (m/s)$,"$\rm \sigma_{RV,2} \ (m/s)$",$\gamma_3 \ \rm (m/s)$,"$\rm \sigma_{RV,3} \ (m/s)$",$\gamma_4 \ \rm (m/s)$,"$\rm \sigma_{RV,4} \ (m/s)$",$q_1 + q_2: \rm LC3$,$q_1 + q_2: \rm RV1$,$e \rm _b$,$\omega \rm _b \ (^\circ)$,$i \rm _b \ (^\circ)$,$b \rm _b$,"$T \rm _{41,b} (hours)$","$T \rm _{21,b} (hours)$",$q_1: \ \rm RV1$,$q_2: \ \rm RV1$,$q_1: \ \rm LC3$,$q_2: \ \rm LC3$,$\ln \mathcal{L}$,$\chi^2$
Median,18.71205,2458729.695,2458729.6814,0.064,24.3,17.5,90,0.006,0.11,0.08,5.64,4.8,2.7,-7.571,-9.13,-1,-7.502,-7.92,-2.68,-8.127,-8.46,-0.23,-23395.1,0.6,1,8.7,-1.6,3.4,2,18,0.55,0.78,0.026,40,89.67,0.14,6.141,0.404,0.55,0.23,0.258,0.294,325059,1.022
Lower,1.00E-05,0.002,0.0004,0.0003,0.3,1.2,12,0.005,0.09,0.07,0.14,0.4,0.3,0.007,0.12,0.3,0.008,0.04,0.11,0.012,0.15,0.15,1.1,0.6,1.1,0.9,1.1,1,6,5,0.03,0.08,0.024,40,0.15,0.12,0.017,0.01,0.04,0.04,0.014,0.014,4,0.006
Upper,1.00E-05,0.002,0.0004,0.0003,0.4,1.1,12,0.003,0.12,0.03,0.14,0.4,0.2,0.008,0.11,0.3,0.008,0.04,0.11,0.012,0.12,0.16,1.1,0.3,1.1,0.8,1,0.9,6,5,0.03,0.08,0.011,26,0.29,0.06,0.019,0.008,0.04,0.04,0.014,0.014,4,0.006
Best-fit,18.712051,2458729.694,2458729.6819,0.0694,24.7,17.4,11,0.005,0.12,0.02,5.81,5.2,2.1,-7.539,-9.06,-0.9,-7.475,-7.94,-2.66,-8.124,-8.19,0,-23394.4,0.8,2.3,7.5,-1,6.2,6,21,0.51,0.67,0.014,12,89.71,0.13,6.128,0.404,0.49,0.18,0.237,0.273,325040,0.995
Mode,18.71205,2458729.695,2458729.6814,0.069,24.4,17.6,-1,0.004,0.16,0.05,5.64,4.8,2.7,-7.571,-9.13,-1,-7.502,-7.92,-2.69,-8.128,-8.48,-0.25,-23395,0.2,1,8.6,-1.7,3.3,3,17,0.55,0.79,0.018,16,89.79,0.14,6.138,0.397,0.55,0.24,0.258,0.294,325059,1.022
Prior,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,tgauss,tgauss,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,uni,tgauss,tgauss,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived
Location,18.712062,2458729.681,2458729.681,0.06976,24.21,17.3,1,0.01,0,0,5.4,4.46,2,-8.12,-8.5,-0.19,-7,-7.81,-0.34,-8.12,-8.5,-0.19,-23396.0634321599,0,1.3,0,-1.9,0,1.9,0,0.542,0.7114,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived
Width,0.00023,0.000275,0.000275,0.05,1,1.2,10,0.01,0.0001,0.0001,1,1,1,1.00E-06,0.05,0.05,1.00E-06,0.05,0.05,1.00E-06,0.05,0.05,1,1,1,1,1,1,1,1,0.1,0.1,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived
Lower,18.703,2458729.65,2458729.65,0,19,10,-180,0,-1,0,0.5,0.5,0,-15,-15,-10,-20,-15,-5,-20,-15,-5,-23450,0,-20,0,-20,0,-20,0,0,0,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived
